id,genres,title,overview,keywords,popularity,cast,crew,production_companies,runtime,release_year
19995,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","['culture clash', 'future', 'space war', 'space colony', 'society', 'space travel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alien planet', 'cgi', 'marine', 'soldier', 'battle', 'love affair', 'anti war', 'power relations', 'mind and soul', '3d']",150.437577,"Sam Worthington (Jake Sully), Zoe Saldana (Neytiri), Sigourney Weaver (Dr. Grace Augustine), Stephen Lang (Col. Quaritch), Michelle Rodriguez (Trudy Chacon)",James Cameron,"Ingenious Film Partners, Twentieth Century Fox Film Corporation, Dune Entertainment",162.0,2009
285,"['Adventure', 'Fantasy', 'Action']",Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.","['ocean', 'drug abuse', 'exotic island', 'east india trading company', ""love of one's life"", 'traitor', 'shipwreck', 'strong woman', 'ship', 'alliance', 'calypso', 'afterlife', 'fighter', 'pirate', 'swashbuckler', 'aftercreditsstinger']",139.082615,"Johnny Depp (Captain Jack Sparrow), Orlando Bloom (Will Turner), Keira Knightley (Elizabeth Swann), Stellan Skarsgård (William ""Bootstrap Bill"" Turner), Chow Yun-fat (Captain Sao Feng)",Gore Verbinski,"Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions",169.0,2007
206647,"['Action', 'Adventure', 'Crime']",Spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.","['spy', 'based on novel', 'secret agent', 'sequel', 'mi6', 'british secret service', 'united kingdom']",107.376788,"Daniel Craig (James Bond), Christoph Waltz (Blofeld), Léa Seydoux (Madeleine), Ralph Fiennes (M), Monica Bellucci (Lucia)",Sam Mendes,"Columbia Pictures, Danjaq, B24",148.0,2015
49026,"['Action', 'Crime', 'Drama', 'Thriller']",The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.","['dc comics', 'crime fighter', 'terrorist', 'secret identity', 'burglar', 'hostage drama', 'time bomb', 'gotham city', 'vigilante', 'cover-up', 'superhero', 'villainess', 'tragic hero', 'terrorism', 'destruction', 'catwoman', 'cat burglar', 'imax', 'flood', 'criminal underworld', 'batman']",112.31295,"Christian Bale (Bruce Wayne / Batman), Michael Caine (Alfred Pennyworth), Gary Oldman (James Gordon), Anne Hathaway (Selina Kyle / Catwoman), Tom Hardy (Bane)",Christopher Nolan,"Legendary Pictures, Warner Bros., DC Entertainment",165.0,2012
49529,"['Action', 'Adventure', 'Science Fiction']",John Carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.","['based on novel', 'mars', 'medallion', 'space travel', 'princess', 'alien', 'steampunk', 'martian', 'escape', 'edgar rice burroughs', 'alien race', 'superhuman strength', 'mars civilization', 'sword and planet', '19th century', '3d']",43.926995,"Taylor Kitsch (John Carter), Lynn Collins (Dejah Thoris), Samantha Morton (Sola), Willem Dafoe (Tars Tarkas), Thomas Haden Church (Tal Hajus)",Andrew Stanton,Walt Disney Pictures,132.0,2012
559,"['Fantasy', 'Action', 'Adventure']",Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.","['dual identity', 'amnesia', 'sandstorm', ""love of one's life"", 'forgiveness', 'spider', 'wretch', 'death of a friend', 'egomania', 'sand', 'narcism', 'hostility', 'marvel comic', 'sequel', 'superhero', 'revenge']",115.699814,"Tobey Maguire (Peter Parker / Spider-Man), Kirsten Dunst (Mary Jane Watson), James Franco (Harry Osborn / New Goblin), Thomas Haden Church (Flint Marko / Sandman), Topher Grace (Eddie Brock / Venom)",Sam Raimi,"Columbia Pictures, Laura Ziskin Productions, Marvel Enterprises",139.0,2007
38757,"['Animation', 'Family']",Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.","['hostage', 'magic', 'horse', 'fairy tale', 'musical', 'princess', 'animation', 'tower', 'blonde woman', 'selfishness', 'healing power', 'based on fairy tale', 'duringcreditsstinger', 'healing gift', 'animal sidekick']",48.681969,"Zachary Levi (Flynn Rider (voice)), Mandy Moore (Rapunzel (voice)), Donna Murphy (Mother Gothel (voice)), Ron Perlman (Stabbington Brother (voice)), M.C. Gainey (Captain of the Guard (voice))","Byron Howard, Nathan Greno","Walt Disney Pictures, Walt Disney Animation Studios",100.0,2010
99861,"['Action', 'Adventure', 'Science Fiction']",Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","['marvel comic', 'sequel', 'superhero', 'based on comic book', 'vision', 'superhero team', 'duringcreditsstinger', 'marvel cinematic universe', '3d']",134.279229,"Robert Downey Jr. (Tony Stark / Iron Man), Chris Hemsworth (Thor Odinson), Mark Ruffalo (Bruce Banner / Hulk), Chris Evans (Steve Rogers / Captain America), Scarlett Johansson (Natasha Romanoff / Black Widow)",Joss Whedon,"Marvel Studios, Prime Focus, Revolution Sun Studios",141.0,2015
767,"['Adventure', 'Fantasy', 'Family']",Harry Potter and the Half-Blood Prince,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.","['witch', 'magic', 'broom', 'school of witchcraft', 'wizardry', 'apparition', 'teenage crush', 'werewolf']",98.885637,"Daniel Radcliffe (Harry Potter), Rupert Grint (Ron Weasley), Emma Watson (Hermione Granger), Tom Felton (Draco Malfoy), Michael Gambon (Albus Dumbledore)",David Yates,"Warner Bros., Heyday Films",153.0,2009
209112,"['Action', 'Adventure', 'Fantasy']",Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.","['dc comics', 'vigilante', 'superhero', 'based on comic book', 'revenge', 'super powers', 'clark kent', 'bruce wayne', 'dc extended universe']",155.790452,"Ben Affleck (Bruce Wayne / Batman), Henry Cavill (Clark Kent / Superman), Gal Gadot (Diana Prince / Wonder Woman), Amy Adams (Lois Lane), Jesse Eisenberg (Lex Luthor)",Zack Snyder,"DC Comics, Atlas Entertainment, Warner Bros.",151.0,2016
1452,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']",Superman Returns,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.","['saving the world', 'dc comics', 'invulnerability', 'sequel', 'superhero', 'based on comic book', 'kryptonite', 'super powers', 'superhuman strength', 'lex luthor']",57.925623,"Brandon Routh (Superman / Clark Kent), Kevin Spacey (Lex Luthor), Kate Bosworth (Lois Lane), James Marsden (Richard White), Parker Posey (Kitty Kowalski)",Bryan Singer,"DC Comics, Legendary Pictures, Warner Bros.",154.0,2006
10764,"['Adventure', 'Action', 'Thriller', 'Crime']",Quantum of Solace,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.","['killing', 'undercover', 'secret agent', 'british secret service']",107.928811,"Daniel Craig (James Bond), Olga Kurylenko (Camille Montes), Mathieu Amalric (Dominic Greene), Judi Dench (M), Giancarlo Giannini (René Mathis)",Marc Forster,Eon Productions,106.0,2008
58,"['Adventure', 'Fantasy', 'Action']",Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.","['witch', 'fortune teller', 'bondage', 'exotic island', 'monster', 'captain', 'card game', 'east india trading company', 'compass', 'ship', 'daughter', 'pirate', 'swashbuckler', 'aftercreditsstinger']",145.847379,"Johnny Depp (Captain Jack Sparrow), Orlando Bloom (Will Turner), Keira Knightley (Elizabeth Swann), Stellan Skarsgård (William ""Bootstrap Bill"" Turner), Bill Nighy (Captain Davy Jones)",Gore Verbinski,"Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions",151.0,2006
